Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size,Traffic Type
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51657,66,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,66,HTTPS
2025-10-02 18:06:38,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51657,443,54,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,54,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51657,443,571,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,571,HTTPS
2025-10-02 18:06:38,140.82.114.21,10.132.143.86,TCP,443,51629,66,HTTPS
2025-10-02 18:06:38,13.89.179.8,10.132.143.86,TCP,443,51653,66,HTTPS
2025-10-02 18:06:38,13.89.179.8,10.132.143.86,TCP,443,51631,66,HTTPS
2025-10-02 18:06:38,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,153,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,500,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51657,153,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51657,443,500,HTTPS
2025-10-02 18:06:38,20.60.225.129,10.132.143.86,TCP,443,51598,66,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.60.225.129,TCP,51598,443,1354,HTTPS
2025-10-02 18:06:38,140.82.114.22,10.132.143.86,TCP,443,51634,66,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,1334,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,1334,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,1334,HTTPS
2025-10-02 18:06:38,20.189.172.73,10.132.143.86,TCP,443,51656,622,HTTPS
2025-10-02 18:06:38,10.132.143.86,20.189.172.73,TCP,51656,443,54,HTTPS
